"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.063838900E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
4.546578500E-2,-1.191581041E-2,3.116965294E-3,-2.034282684E-2,2.378092963E-2
5.029318100E-2,-2.277034521E-2,2.074930072E-2,-2.951717377E-2,4.266480574E-2
5.512057700E-2,-9.406164289E-3,2.778708935E-3,-3.290748596E-2,3.433802240E-2
5.994797300E-2,-1.164986193E-2,2.363175154E-3,-9.096145630E-3,1.496809090E-2
6.477536800E-2,-2.273918688E-2,3.903508186E-4,-5.586624146E-3,2.341865417E-2
6.960276400E-2,3.495484591E-3,-1.088172197E-3,1.161670685E-2,1.217991828E-2
7.443016000E-2,1.577249914E-2,-2.337396145E-4,3.109931946E-2,3.487110601E-2
7.925750400E-2,2.060618252E-2,-1.223939657E-2,4.891300201E-2,5.446925144E-2
8.408490000E-2,6.175287068E-3,-1.253533363E-2,5.909729004E-2,6.072691701E-2
8.891229600E-2,4.586041719E-2,-1.752209663E-2,8.635425568E-2,9.933407879E-2
9.373969100E-2,3.950484097E-2,-2.031466365E-2,8.793258667E-2,9.851628199E-2
9.856708700E-2,3.464735299E-2,-1.449802518E-2,7.012367249E-2,7.954848362E-2
1.033944830E-1,3.538937122E-2,-7.180362940E-3,5.400371552E-2,6.496434789E-2
1.082218790E-1,3.447215259E-2,-1.171949506E-2,4.369926453E-2,5.687971157E-2
1.130492750E-1,3.168997914E-2,-1.389488578E-2,2.974700928E-2,4.563120850E-2
1.178766180E-1,-9.144574404E-3,-2.401351929E-3,-1.254367828E-2,1.570775595E-2
1.227040660E-1,-2.907291055E-3,-5.002379417E-3,-1.862907410E-2,1.950688450E-2
1.275314100E-1,-1.105717570E-2,1.311597228E-2,-3.578472137E-2,3.968420526E-2
1.323588060E-1,-8.052088320E-3,7.856905460E-3,-2.490234375E-2,2.732569878E-2
1.371862020E-1,-1.713852584E-2,3.092646599E-3,-3.966712952E-2,4.332175776E-2
1.420135980E-1,-2.401643246E-2,3.288686275E-3,-4.242897034E-2,4.886534569E-2
1.468409930E-1,-5.778871477E-3,1.272284985E-2,2.904891968E-3,1.427251418E-2
1.516683890E-1,4.751101136E-3,1.035094261E-2,5.079269409E-3,1.247052335E-2
1.564957850E-1,8.035190403E-3,-1.485154033E-2,9.472846985E-3,1.936149180E-2
1.613231810E-1,2.066278458E-2,-4.681199789E-3,2.291774750E-2,3.121037405E-2
1.661505250E-1,1.942685992E-2,-1.580291986E-2,2.898406982E-2,3.830419645E-2
1.709779210E-1,2.563712746E-2,-3.645539284E-3,3.948688507E-2,4.722040188E-2
1.758053160E-1,3.896848857E-2,-5.945116282E-3,4.505634308E-2,5.986619715E-2
1.806327120E-1,1.063694060E-2,9.062886238E-4,3.430080414E-2,3.592368340E-2
1.854601080E-1,2.279754728E-2,1.439875364E-2,1.003551483E-2,2.877088505E-2
1.902875040E-1,-8.221715689E-5,2.281960845E-2,1.899147034E-2,2.968867183E-2
1.951149000E-1,7.751561701E-3,3.278374672E-3,-7.108688354E-3,1.101671001E-2
1.999422960E-1,-2.208591998E-2,2.385455370E-2,-6.901741028E-3,3.323344133E-2
2.047696910E-1,-2.076029778E-4,1.143503189E-2,-1.367664337E-2,1.782844994E-2
2.095970350E-1,-1.426310837E-2,4.166007042E-3,-3.423500061E-2,3.732059943E-2
2.144244310E-1,-7.225632668E-3,-7.473647594E-3,-1.934051514E-2,2.195724713E-2
2.192518270E-1,-2.157866210E-2,4.658728838E-3,-1.888275146E-4,2.207664078E-2
2.240792230E-1,1.556923240E-2,2.494782209E-3,1.380634308E-2,2.095805442E-2
2.289066180E-1,1.910983026E-2,2.632796764E-3,1.346015930E-2,2.352218357E-2
2.337340140E-1,-5.961880088E-4,-1.354345679E-2,1.313400269E-2,1.887545201E-2
2.385614100E-1,1.070518792E-2,3.330618143E-3,2.216720581E-2,2.484107645E-2
2.433888060E-1,2.195023745E-2,-8.404314518E-3,2.165031433E-2,3.195593118E-2
2.482162020E-1,1.459050924E-2,-1.525807381E-2,2.817440033E-2,3.520637172E-2
2.530435980E-1,9.915336967E-3,-2.205410600E-2,4.626464844E-2,5.220263589E-2
2.578709410E-1,8.092448115E-4,-3.022134304E-3,1.950836182E-2,1.975764039E-2
2.626983370E-1,1.072009653E-2,2.257126570E-2,2.697944641E-3,2.513287509E-2
2.675257330E-1,6.344601512E-3,-2.030515671E-2,9.669303894E-3,2.336768699E-2
2.723531290E-1,-5.030490458E-3,-6.001263857E-3,2.438545227E-3,8.201676960E-3
2.771805250E-1,-4.686355591E-3,1.065760851E-3,-1.636886597E-2,1.705982262E-2
2.820079210E-1,2.483658493E-3,5.706846714E-3,-9.012222290E-3,1.095247961E-2
2.868353160E-1,4.620842636E-3,-1.784303784E-2,-1.798629761E-3,1.851921314E-2
2.916627120E-1,-2.843745053E-3,1.389384270E-3,5.278587341E-3,6.154734673E-3
2.964901080E-1,-7.882416248E-3,-1.960006356E-2,-1.862525940E-3,2.120763967E-2
3.013175040E-1,-1.523836702E-2,4.364252090E-3,1.461505890E-2,2.156048405E-2
3.061448480E-1,1.281332225E-2,2.050697803E-3,1.200199127E-2,1.767581350E-2
3.109722430E-1,-6.497144699E-3,2.100914717E-3,1.884460449E-2,2.004359874E-2
3.157996390E-1,1.467470825E-2,-2.136501670E-2,9.115219116E-3,2.747541119E-2
3.206270350E-1,9.705036879E-3,-2.332744002E-2,1.366615295E-2,2.872491837E-2
3.254544310E-1,1.914050430E-2,7.590681314E-3,2.285099030E-2,3.075947180E-2
3.302818270E-1,9.684786201E-3,-4.389643669E-3,1.070690155E-2,1.508979112E-2
3.351092230E-1,7.474899292E-3,1.442739367E-2,1.995182037E-2,2.573128337E-2
3.399366180E-1,1.236657053E-2,7.046222687E-3,3.151893616E-3,1.457792009E-2
3.447640140E-1,1.480244100E-2,-2.184510231E-4,1.016807556E-2,1.795966985E-2
3.495914100E-1,-4.058644176E-3,1.147696376E-2,-8.836746216E-3,1.504265181E-2
3.544188060E-1,3.143168986E-3,-7.579743862E-3,-8.703231812E-3,1.196153302E-2
3.592462020E-1,-6.408661604E-3,-9.824335575E-3,-1.502990723E-3,1.182571326E-2
3.640735460E-1,7.697790861E-3,-7.265150547E-3,-1.562500000E-2,1.887270573E-2
3.689009410E-1,1.210983843E-2,7.104516029E-3,1.290130615E-2,1.906740767E-2
3.737283370E-1,9.300284088E-3,4.817456007E-3,1.507854462E-2,1.835934842E-2
3.785557330E-1,-5.461499095E-4,-9.318917990E-3,1.486587524E-2,1.755376766E-2
