"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.103239600E-2,-1.927550882E-2,8.548170328E-3,1.884746552E-2,2.828150301E-2
8.585953100E-2,-4.714637995E-3,-7.661283016E-4,1.675605774E-2,1.742355403E-2
9.068666600E-2,-1.094741374E-2,1.019737124E-2,-2.144813538E-3,1.511398270E-2
9.551380200E-2,-5.685165524E-3,-1.024091244E-2,8.928298950E-3,1.472792982E-2
1.003409370E-1,-7.246032357E-3,-6.278753281E-4,5.991935730E-3,9.423508165E-3
1.051680730E-1,2.414129674E-3,-6.479024887E-4,3.320693970E-3,4.156297410E-3
1.099952080E-1,-8.570186794E-3,-2.072241902E-2,8.602142334E-4,2.244118358E-2
1.148222910E-1,-9.933918715E-3,-1.276507974E-2,1.420116425E-2,2.152447601E-2
1.196494270E-1,-6.607919931E-5,3.665834665E-3,-6.875991821E-3,7.792430544E-3
1.244765620E-1,-1.566457003E-2,7.912397385E-3,-6.471633911E-3,1.870472754E-2
1.293036980E-1,-1.265183091E-3,1.886889338E-2,-6.109237671E-3,1.987356563E-2
1.341308330E-1,7.725074887E-3,8.905559778E-3,-2.165317535E-2,2.465452859E-2
1.389579680E-1,-4.282310605E-3,1.085886359E-2,-1.602172852E-2,1.982293841E-2
1.437851040E-1,-1.122892648E-2,-8.423924446E-4,-6.138801575E-3,1.282510428E-2
1.486122390E-1,9.525351226E-3,6.230294704E-3,-3.572463989E-3,1.192943364E-2
1.534393750E-1,8.965976536E-3,-7.523596287E-4,1.489734650E-2,1.740361206E-2
1.582664580E-1,-1.216199994E-2,1.542910933E-2,5.106925964E-3,2.029907264E-2
1.630935930E-1,-7.084697485E-3,3.396511078E-3,1.868820190E-2,2.027259521E-2
1.679207290E-1,-1.360566169E-2,7.852911949E-3,4.163742065E-3,1.625173849E-2
1.727478640E-1,9.460076690E-4,6.065666676E-4,2.013969421E-2,2.017102220E-2
1.775750000E-1,1.135103405E-3,1.894402504E-2,-8.270263672E-3,2.070173436E-2
1.824021350E-1,1.261249185E-3,1.590922475E-2,-1.491546631E-2,2.184411401E-2
1.872292710E-1,-3.381863236E-3,2.455940843E-2,-1.210784912E-2,2.758988133E-2
1.920564060E-1,-5.592815578E-3,6.247162819E-4,-9.401321411E-3,1.095694760E-2
1.968834890E-1,-5.508057773E-3,7.573276758E-3,2.482414246E-3,9.687910083E-3
2.017106250E-1,-1.015660912E-2,4.251003265E-4,-2.232551575E-3,1.040777140E-2
2.065377600E-1,-7.739990950E-3,1.438978314E-2,4.799842834E-3,1.702973312E-2
2.113648960E-1,-8.064731956E-4,9.400695562E-3,2.338409424E-3,9.720680774E-3
2.161920310E-1,5.990073085E-3,-1.169773936E-2,-5.054473877E-5,1.314232234E-2
2.210191660E-1,5.681417882E-3,4.929244518E-3,9.262084961E-3,1.193156228E-2
2.258463020E-1,-6.150476635E-3,7.172077894E-3,2.066802979E-2,2.272519569E-2
2.306734370E-1,1.037948579E-2,-2.323478460E-3,-8.440017700E-4,1.066979926E-2
2.355005210E-1,-1.549100131E-2,9.385108948E-3,6.175994873E-3,1.913620402E-2
2.403276560E-1,8.342944086E-3,1.147571206E-2,1.355171204E-3,1.425247951E-2
2.451547910E-1,5.918048322E-3,4.209160805E-3,5.996704102E-3,9.418109720E-3
2.499819270E-1,-1.149229705E-3,8.770883083E-3,3.519058228E-3,9.520130765E-3
2.548090620E-1,2.000476420E-2,8.556783199E-3,-1.236915588E-3,2.179309729E-2
2.596361980E-1,5.575470626E-3,1.072034240E-2,-5.888938904E-3,1.344214325E-2
2.644633330E-1,3.023520112E-3,2.220517397E-2,-1.078605652E-3,2.243601602E-2
2.692904680E-1,-1.352515817E-2,7.724136114E-3,-5.739212036E-3,1.659911856E-2
2.741176040E-1,-6.332352757E-3,1.229164004E-2,-3.274917603E-3,1.420944023E-2
2.789446870E-1,5.425766110E-3,5.051761866E-3,1.085662842E-2,1.314631570E-2
2.837718230E-1,5.651041865E-4,4.993647337E-3,8.295059204E-3,9.698652673E-3
2.885989580E-1,-4.227921367E-3,4.967361689E-3,-8.287429810E-3,1.054663425E-2
2.934260930E-1,-1.118955016E-2,-4.501760006E-3,1.299285889E-2,1.772812054E-2
2.982532290E-1,3.105111420E-3,4.987567663E-3,3.356933594E-3,6.766576038E-3
3.030803640E-1,3.072045743E-3,1.662290096E-2,-3.749847412E-3,1.731530124E-2
3.079075000E-1,7.768198848E-3,-1.655566692E-2,1.041507721E-2,2.104539983E-2
3.127346350E-1,2.982676029E-3,-9.224563837E-3,1.727962494E-2,1.981348966E-2
3.175617710E-1,-4.069752991E-3,-4.375666380E-3,1.227378845E-2,1.365119880E-2
3.223889060E-1,1.480649039E-2,-9.017735720E-3,3.032684326E-4,1.733907976E-2
3.272159890E-1,4.075020552E-4,-4.146009684E-3,7.355690002E-3,8.453498071E-3
3.320431250E-1,5.044154823E-3,1.478973031E-2,-2.177238464E-3,1.577719835E-2
3.368702600E-1,-2.190753818E-3,-8.945584297E-3,-9.202003479E-3,1.301920692E-2
3.416973960E-1,-6.984315813E-3,6.587207317E-4,2.717971802E-3,7.523426818E-3
3.465245310E-1,-4.582084715E-3,-8.698731661E-3,-1.851654053E-2,2.096486837E-2
3.513516660E-1,2.521328628E-3,-3.808617592E-3,5.328178406E-3,7.017987684E-3
3.561788020E-1,2.449035645E-3,-6.091892719E-3,2.889633179E-3,7.173486767E-3
3.610059370E-1,4.763998091E-3,-1.544073224E-2,2.169799805E-2,2.705392780E-2
3.658330730E-1,-2.381935716E-3,-1.082718372E-3,1.194381714E-2,1.222704644E-2
3.706601560E-1,7.219612598E-6,1.304805279E-3,1.412677765E-2,1.418691001E-2
3.754872910E-1,-2.296455204E-3,-3.416448832E-3,1.156425476E-2,1.227508930E-2
3.803144270E-1,1.195296645E-4,2.256250381E-2,-9.828567505E-3,2.461059944E-2
3.851415620E-1,-6.933972239E-3,-6.050795317E-3,-2.527236938E-4,9.206300248E-3
3.899686980E-1,7.315360010E-3,-5.923569202E-3,-9.685516357E-3,1.350601315E-2
3.947958330E-1,-9.309664369E-3,-8.159250021E-3,-2.470016479E-3,1.262316097E-2
3.996229680E-1,2.585001290E-3,1.795956492E-2,-9.517669678E-3,2.048936895E-2
4.044501040E-1,7.209725678E-3,1.070967317E-2,-1.175022125E-2,1.745694541E-2
4.092772390E-1,1.413621381E-2,-1.165628433E-3,-1.159381866E-2,1.831960321E-2
4.141043750E-1,-5.033090711E-3,-1.078158617E-3,-9.079933167E-3,1.043741416E-2
4.189314580E-1,-1.448082179E-2,-1.049906015E-3,9.934425354E-3,1.759230825E-2
4.237585930E-1,4.569150507E-3,-3.384977579E-3,2.162075043E-2,2.235602958E-2
4.285857290E-1,2.574465051E-2,3.760248423E-3,7.173538208E-3,2.698862999E-2
4.334128640E-1,6.457857788E-3,1.557353139E-2,7.085800171E-3,1.828790232E-2
4.382400000E-1,1.349462196E-2,1.245021820E-3,2.118301392E-2,2.514706702E-2
4.430671350E-1,-8.283182979E-4,8.336424828E-3,2.016067505E-3,8.616647741E-3
4.478942710E-1,-3.187306225E-3,1.064482331E-2,1.994132996E-3,1.128927592E-2
4.527214060E-1,-1.264213026E-2,3.410637379E-3,-9.853363037E-3,1.638733254E-2
4.575485410E-1,-3.040634096E-3,-8.410453796E-3,6.818771362E-3,1.124619187E-2
4.623756250E-1,-1.486492157E-2,5.892127752E-3,-5.085945129E-3,1.677944876E-2
4.672027600E-1,4.137136042E-3,-8.325308561E-3,6.800651550E-3,1.151848596E-2
4.720298960E-1,-7.802799344E-3,-8.246481419E-3,-5.105972290E-3,1.244825636E-2
4.768570310E-1,-6.811842322E-4,-1.050668955E-2,-2.682685852E-3,1.086514338E-2
4.816841660E-1,-1.499494165E-2,1.426726580E-3,-2.654075623E-3,1.529470305E-2
4.865113020E-1,-5.428493023E-3,-9.703040123E-4,-2.626419067E-3,6.108035977E-3
4.913384370E-1,6.431683898E-3,3.817647696E-3,-2.307891846E-4,7.482930932E-3
4.961655730E-1,-1.260834932E-2,-8.016645908E-3,-4.961013794E-3,1.574321257E-2
5.009927080E-1,-2.905259281E-2,3.919899464E-3,1.639938354E-2,3.359104853E-2
