"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.792989800E-2,4.385696352E-2,-2.586534619E-2,1.235485077E-1,1.336289008E-1
9.275661700E-2,2.954767644E-2,6.368994713E-3,6.516742706E-2,7.183608304E-2
9.758333500E-2,2.671150863E-2,7.828176022E-3,9.119033813E-3,2.929064374E-2
1.024101060E-1,8.145183325E-3,-1.652541757E-2,2.568340302E-2,3.160807852E-2
1.072368250E-1,3.009074926E-2,-1.513302326E-3,5.862331390E-2,6.591233730E-2
1.120635440E-1,4.832223803E-2,-1.635333896E-2,9.606552124E-2,1.087706521E-1
1.168902630E-1,7.041340321E-2,-3.702372313E-3,1.358556747E-1,1.530637752E-1
1.217170330E-1,7.872573286E-2,-2.342438698E-2,1.625289917E-1,1.821046844E-1
1.265437520E-1,8.763405681E-2,-2.212905884E-2,1.501283646E-1,1.752368369E-1
1.313704710E-1,6.991534680E-2,-1.215407252E-2,1.367979050E-1,1.541088706E-1
1.361972420E-1,4.005661607E-2,-1.864922047E-2,8.626747131E-2,9.692472606E-2
1.410239600E-1,3.437002003E-2,2.397090197E-3,4.999542236E-2,6.071726752E-2
1.458506790E-1,1.283615828E-3,4.379868507E-3,4.307746887E-3,6.275954189E-3
1.506774500E-1,-3.459960222E-3,-1.400905848E-2,4.101753235E-3,1.500164737E-2
1.555041690E-1,1.890957355E-2,-1.086929440E-2,1.761436462E-2,2.803532368E-2
1.603308880E-1,2.867977321E-2,-5.544722080E-3,3.286647797E-2,4.397133962E-2
1.651576580E-1,2.439352125E-2,-4.800558090E-4,6.359672546E-2,6.811620822E-2
1.699843770E-1,5.281706899E-2,-2.099913359E-2,9.321022034E-2,1.091730350E-1
1.748110960E-1,5.761822313E-2,-1.761972904E-3,9.422683716E-2,1.104611290E-1
1.796378670E-1,3.970727324E-2,-1.566764712E-2,8.152103424E-2,9.202076797E-2
1.844645850E-1,4.351077974E-2,-3.773659468E-3,8.322715759E-2,9.399036238E-2
1.892913040E-1,2.647434175E-2,-1.535922289E-3,5.263614655E-2,5.893906813E-2
1.941180750E-1,5.588531494E-4,1.690164208E-2,1.156234741E-2,2.048574382E-2
