"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.202698200E-2,1.340752989E-1,-3.268085420E-1,9.572018623E0,9.578534363E0
3.441901300E-2,1.197100878E-1,-3.459621370E-1,9.830592155E0,9.837406286E0
3.687442900E-2,9.097966552E-2,-3.507505357E-1,1.007958889E1,1.008610011E1
3.933526300E-2,7.182604820E-2,-3.459621370E-1,1.025675964E1,1.026284401E1
4.179067900E-2,5.746084079E-2,-3.315969408E-1,1.034774017E1,1.035321134E1
4.424338800E-2,4.309562966E-2,-3.268085420E-1,1.037647057E1,1.038170518E1
4.669880400E-2,2.873042040E-2,-3.268085420E-1,1.034774017E1,1.035293948E1
4.915963800E-2,1.915361360E-2,-3.124433160E-1,1.029985619E1,1.030461184E1
5.161505400E-2,2.873042040E-2,-3.076549172E-1,1.028549004E1,1.029013033E1
5.406776300E-2,2.394201607E-2,-3.028665185E-1,1.028549004E1,1.028997603E1
5.652317900E-2,9.576806799E-3,-3.076549172E-1,1.030943298E1,1.031402694E1
5.898401300E-2,2.394201607E-2,-3.268085420E-1,1.032379818E1,1.032899733E1
6.143942900E-2,4.309562966E-2,-3.268085420E-1,1.030464458E1,1.030991567E1
6.389213800E-2,5.267243832E-2,-3.315969408E-1,1.023760605E1,1.024311030E1
6.634755400E-2,5.746084079E-2,-3.411737382E-1,1.009874249E1,1.010466729E1
6.880838800E-2,8.619125932E-2,-3.363853395E-1,9.921571732E0,9.927646733E0
7.126380400E-2,1.005564705E-1,-3.172317147E-1,9.749189377E0,9.754867558E0
7.371651300E-2,1.101332754E-1,-3.076549172E-1,9.595960617E0,9.601522851E0
7.617192900E-2,1.149216816E-1,-3.172317147E-1,9.471462250E0,9.477470132E0
7.863276300E-2,1.197100878E-1,-3.172317147E-1,9.437943459E0,9.444032147E0
8.108817900E-2,1.197100878E-1,-3.076549172E-1,9.481039047E0,9.486784675E0
8.354088800E-2,1.005564705E-1,-3.172317147E-1,9.538499832E0,9.544303359E0
8.599630400E-2,9.576806426E-2,-3.315969408E-1,9.615114212E0,9.621307051E0
8.845713800E-2,7.182604820E-2,-3.315969408E-1,9.701305389E0,9.707236567E0
9.091255400E-2,6.224924326E-2,-3.315969408E-1,9.758766174E0,9.764596702E0
9.336526300E-2,6.703764945E-2,-3.268085420E-1,9.777919769E0,9.783609400E0
9.582067900E-2,5.746084079E-2,-3.172317147E-1,9.777919769E0,9.783233245E0
9.828151300E-2,3.830722719E-2,-3.076549172E-1,9.787496567E0,9.792405631E0
1.007420340E-1,2.873042040E-2,-3.124433160E-1,9.797073364E0,9.802096346E0
1.032051070E-1,4.309562966E-2,-3.172317147E-1,9.806650162E0,9.811874469E0
1.056730750E-1,3.830722719E-2,-3.172317147E-1,9.840168953E0,9.845355678E0
1.081480230E-1,3.830722719E-2,-3.172317147E-1,9.878476143E0,9.883642765E0
1.106316690E-1,6.224924326E-2,-3.220201433E-1,9.921571732E0,9.926991365E0
1.131253150E-1,7.661445439E-2,-3.268085420E-1,9.940725327E0,9.946390984E0
1.156297940E-1,7.661445439E-2,-3.315969408E-1,9.940725327E0,9.946549468E0
1.181454710E-1,8.619125932E-2,-3.315969408E-1,9.931148529E0,9.937056736E0
1.206722940E-1,9.097966552E-2,-3.315969408E-1,9.897629738E0,9.903600772E0
1.232096900E-1,9.576806426E-2,-3.268085420E-1,9.859322548E0,9.865202301E0
1.257567730E-1,9.576806426E-2,-3.124433160E-1,9.844957352E0,9.850379567E0
1.283067730E-1,8.619125932E-2,-3.124433160E-1,9.844957352E0,9.850291113E0
1.308540650E-1,8.140286058E-2,-3.172317147E-1,9.864110947E0,9.869546451E0
1.334040650E-1,7.182604820E-2,-3.220201433E-1,9.907206535E0,9.912698789E0
1.359594820E-1,6.703764945E-2,-3.315969408E-1,9.950302124E0,9.956051574E0
1.385094820E-1,6.703764945E-2,-3.220201433E-1,1.000776291E1,1.001316680E1
1.410567730E-1,5.746084079E-2,-3.268085420E-1,1.005564690E1,1.006112022E1
1.436064090E-1,5.267243832E-2,-3.411737382E-1,1.005564690E1,1.006157087E1
1.461564090E-1,3.830722719E-2,-3.363853395E-1,1.004128170E1,1.004698764E1
1.487118250E-1,3.830722719E-2,-3.172317147E-1,1.000297451E1,1.000807686E1
1.512368770E-1,5.267243832E-2,-3.268085420E-1,9.955090523E0,9.960592629E0
1.537616170E-1,6.224924326E-2,-3.315969408E-1,9.897629738E0,9.903378511E0
1.562836480E-1,6.224924326E-2,-3.315969408E-1,9.849745750E0,9.855522454E0
1.588058880E-1,5.746084079E-2,-3.363853395E-1,9.816226959E0,9.822157022E0
1.613283880E-1,6.224924326E-2,-3.363853395E-1,9.773131371E0,9.779116875E0
1.638512520E-1,7.182604820E-2,-3.315969408E-1,9.753977776E0,9.759876944E0
1.663745340E-1,7.661445439E-2,-3.220201433E-1,9.730035782E0,9.735664490E0
