"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.096755600E-2,-3.591302633E-1,1.185129806E-1,9.830592155E0,9.837863691E0
2.346599300E-2,-3.639186621E-1,1.137245819E-1,9.844957352E0,9.852337557E0
2.596656600E-2,-3.782838583E-1,1.185129806E-1,9.849745750E0,9.857719582E0
2.847010800E-2,-3.782838583E-1,1.185129806E-1,9.840168953E0,9.848150538E0
3.097734800E-2,-3.734954596E-1,1.137245819E-1,9.844957352E0,9.852695946E0
3.348880600E-2,-3.734954596E-1,1.233013868E-1,9.864110947E0,9.871949496E0
3.600484800E-2,-3.734954596E-1,1.185129806E-1,9.868899345E0,9.876675477E0
3.852557700E-2,-3.734954596E-1,1.185129806E-1,9.859322548E0,9.867106227E0
4.105099300E-2,-3.687070608E-1,1.376665980E-1,9.849745750E0,9.857605609E0
4.358083700E-2,-3.734954596E-1,1.280897856E-1,9.844957352E0,9.852872226E0
4.611469100E-2,-3.782838583E-1,1.280897856E-1,9.840168953E0,9.848270442E0
4.865203500E-2,-3.782838583E-1,1.280897856E-1,9.849745750E0,9.857839369E0
5.119219100E-2,-3.687070608E-1,1.089361757E-1,9.859322548E0,9.866815752E0
5.373443100E-2,-3.591302633E-1,1.041477770E-1,9.849745750E0,9.856840906E0
5.627797300E-2,-3.639186621E-1,1.089361757E-1,9.840168953E0,9.847498612E0
5.882198300E-2,-3.782838583E-1,1.137245819E-1,9.830592155E0,9.838524995E0
6.135786800E-2,-3.782838583E-1,1.185129806E-1,9.830592155E0,9.838581510E0
6.388219100E-2,-3.734954596E-1,1.185129806E-1,9.825803757E0,9.833613967E0
6.640646200E-2,-3.687070608E-1,1.185129806E-1,9.821015358E0,9.828648579E0
6.893615000E-2,-3.687070608E-1,1.233013868E-1,9.835380554E0,9.843061453E0
7.145505600E-2,-3.782838583E-1,1.137245819E-1,9.840168953E0,9.848094079E0
7.397417100E-2,-3.782838583E-1,1.137245819E-1,9.825803757E0,9.833740459E0
7.649365000E-2,-3.734954596E-1,1.233013868E-1,9.835380554E0,9.843241983E0
7.901370200E-2,-3.687070608E-1,1.233013868E-1,9.849745750E0,9.857415456E0
8.153448300E-2,-3.687070608E-1,1.280897856E-1,9.849745750E0,9.857476515E0
8.405609800E-2,-3.687070608E-1,1.280897856E-1,9.844957352E0,9.852691873E0
8.657859800E-2,-3.687070608E-1,1.185129806E-1,9.835380554E0,9.843002635E0
8.910203500E-2,-3.782838583E-1,1.137245819E-1,9.844957352E0,9.852878626E0
9.162641000E-2,-3.639186621E-1,1.185129806E-1,9.840168953E0,9.847609209E0
9.415167100E-2,-3.639186621E-1,1.328781992E-1,9.830592155E0,9.838223190E0
9.667776400E-2,-3.639186621E-1,1.280897856E-1,9.825803757E0,9.833374967E0
9.920458700E-2,-3.639186621E-1,1.137245819E-1,9.821015358E0,9.828413541E0
1.017319830E-1,-3.734954596E-1,1.137245819E-1,9.825803757E0,9.833557424E0
1.042597960E-1,-3.734954596E-1,1.185129806E-1,9.830592155E0,9.838398564E0
1.067878680E-1,-3.639186621E-1,1.185129806E-1,9.835380554E0,9.842824430E0
1.093160460E-1,-3.591302633E-1,1.185129806E-1,9.840168953E0,9.847433417E0
1.118436500E-1,-3.591302633E-1,1.185129806E-1,9.840168953E0,9.847433417E0
1.143679210E-1,-3.639186621E-1,1.185129806E-1,9.835380554E0,9.842824430E0
1.168894830E-1,-3.687070608E-1,1.185129806E-1,9.844957352E0,9.852572024E0
1.194112540E-1,-3.639186621E-1,1.041477770E-1,9.840168953E0,9.847446805E0
1.219332850E-1,-3.687070608E-1,1.137245819E-1,9.844957352E0,9.852515589E0
1.244556810E-1,-3.734954596E-1,1.233013868E-1,9.844957352E0,9.852811139E0
1.269784930E-1,-3.687070608E-1,1.233013868E-1,9.840168953E0,9.847846117E0
1.295017750E-1,-3.639186621E-1,1.185129806E-1,9.849745750E0,9.857178778E0
1.320255250E-1,-3.687070608E-1,1.137245819E-1,9.854534149E0,9.862085047E0
1.345497430E-1,-3.639186621E-1,1.280897856E-1,9.849745750E0,9.857298572E0
1.370744310E-1,-3.639186621E-1,1.328781992E-1,9.849745750E0,9.857361957E0
1.395995870E-1,-3.782838583E-1,1.185129806E-1,9.835380554E0,9.843366022E0
1.421251080E-1,-3.830722570E-1,1.137245819E-1,9.835380554E0,9.843494719E0
1.446509410E-1,-3.687070608E-1,1.185129806E-1,9.840168953E0,9.847787327E0
1.471770350E-1,-3.639186621E-1,1.185129806E-1,9.844957352E0,9.852393992E0
1.497032850E-1,-3.591302633E-1,1.233013868E-1,9.835380554E0,9.842707373E0
1.522296390E-1,-3.687070608E-1,1.185129806E-1,9.830592155E0,9.838217946E0
1.547614100E-1,-3.782838583E-1,1.137245819E-1,9.835380554E0,9.843309535E0
1.572808370E-1,-3.687070608E-1,1.185129806E-1,9.840168953E0,9.847787327E0
1.598004210E-1,-3.591302633E-1,1.233013868E-1,9.835380554E0,9.842707373E0
1.623203680E-1,-3.543418646E-1,1.185129806E-1,9.830592155E0,9.837690055E0
1.648408370E-1,-3.543418646E-1,1.185129806E-1,9.830592155E0,9.837690055E0
1.673619310E-1,-3.687070608E-1,1.185129806E-1,9.825803757E0,9.833433261E0
1.698837540E-1,-3.687070608E-1,1.137245819E-1,9.825803757E0,9.833376716E0
1.724064100E-1,-3.734954596E-1,1.137245819E-1,9.825803757E0,9.833557424E0
1.749299000E-1,-3.734954596E-1,1.280897856E-1,9.835380554E0,9.843303129E0
1.774542230E-1,-3.639186621E-1,1.328781992E-1,9.844957352E0,9.852577260E0
1.799793790E-1,-3.591302633E-1,1.280897856E-1,9.840168953E0,9.847553329E0
1.825052640E-1,-3.687070608E-1,1.185129806E-1,9.840168953E0,9.847787327E0
1.850317750E-1,-3.687070608E-1,1.089361757E-1,9.830592155E0,9.838107242E0
