"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.054551440E-1,-1.262850016E-1,-2.848959863E-1,-6.127599999E-2,3.175978162E-1
1.104513730E-1,-1.528500021E-2,-4.213000182E-3,-5.877999961E-2,6.088077658E-2
1.154474520E-1,-9.661000222E-3,-8.388999850E-3,-4.182799906E-2,4.374119053E-2
1.204436610E-1,-6.279999856E-3,-3.950000100E-4,-3.211199865E-2,3.272269672E-2
1.254396630E-1,2.552000107E-3,7.096000016E-3,-3.926099837E-2,3.997864322E-2
1.304357380E-1,1.412799954E-2,1.071100030E-2,-4.169600084E-2,4.530874513E-2
1.354319680E-1,7.038999815E-3,1.800999977E-3,-3.938199952E-2,4.004663539E-2
1.404279700E-1,-3.435000079E-3,-7.259999984E-4,-3.700599819E-2,3.717216975E-2
1.454240450E-1,4.331000149E-3,1.890999964E-3,-4.178100079E-2,4.204741931E-2
1.504202760E-1,8.651000448E-3,1.874999958E-3,-4.657699913E-2,4.741067687E-2
1.554162780E-1,5.301000085E-3,-5.080000265E-4,-4.419599846E-2,4.451567079E-2
1.604123670E-1,4.887000192E-3,-5.121999886E-3,-4.180200025E-2,4.239722726E-2
1.654085980E-1,2.037999919E-3,-6.852000020E-3,-4.178699851E-2,4.239406317E-2
1.704046000E-1,1.904999954E-3,-8.429000154E-3,-4.655300081E-2,4.734827296E-2
1.754006800E-1,-2.989999950E-3,-2.571000019E-3,-4.173700139E-2,4.192287473E-2
1.803969100E-1,-2.722000005E-3,2.665000036E-3,-3.453499824E-2,3.474446161E-2
1.853929210E-1,9.472000413E-3,4.972999915E-3,-4.171900079E-2,4.306883498E-2
1.903889960E-1,6.151000038E-3,9.375000373E-3,-4.413599893E-2,4.553802626E-2
1.953852270E-1,3.260999918E-3,6.089999806E-3,-3.698699921E-2,3.762659072E-2
2.003813060E-1,5.423999857E-3,-1.689000055E-3,-3.940200061E-2,3.980942285E-2
2.053775350E-1,1.080000002E-4,-1.462999964E-3,-4.179599881E-2,4.182173537E-2
2.103735410E-1,6.399999984E-5,1.141999965E-3,-3.939599916E-2,3.941259964E-2
2.153696160E-1,2.519000089E-3,3.610000014E-3,-4.418199882E-2,4.440074866E-2
2.203656180E-1,4.765000194E-3,5.869999994E-3,-4.658399895E-2,4.719354919E-2
2.253618620E-1,2.027000068E-3,7.833999582E-3,-4.420299828E-2,4.493757154E-2
