"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.920436000E-3,-2.025229931E-1,3.357800096E-2,1.199700952E0,1.217138208E0
1.191602100E-2,4.436230063E-1,-1.545650065E-1,-1.043379977E-1,4.812256547E-1
1.691271300E-2,2.557099983E-2,2.978230119E-1,-6.660289764E-1,7.300322047E-1
2.190932900E-2,-2.817850113E-1,6.569200009E-2,1.476255059E0,1.504342791E0
2.690586700E-2,-1.579670012E-1,-5.172960162E-1,2.670799971E0,2.725017656E0
3.190248800E-2,-1.174670011E-1,-4.870789945E-1,5.260959864E-1,7.265132002E-1
3.689910300E-2,-3.229109943E-1,1.112900004E-1,9.384729862E-1,9.986934065E-1
4.189579300E-2,2.024400048E-2,2.667219937E-1,1.128342032E0,1.159614670E0
4.689238700E-2,5.015339851E-1,-2.276449949E-1,-4.686189890E-1,7.231613504E-1
5.188892500E-2,5.628889799E-1,-6.761000305E-2,-1.881950021E0,1.965490014E0
5.688553900E-2,2.545700036E-2,5.116080046E-1,-3.957969904E0,3.990979400E0
6.188216800E-2,-8.156250119E-1,5.267410278E-1,-1.579105020E0,1.853718677E0
6.687878300E-2,-8.117719889E-1,2.283619940E-1,2.211600065E0,2.366917365E0
7.187547100E-2,-9.480999783E-3,-4.032289982E-1,8.518779874E-1,9.425389221E-1
7.687201100E-2,5.436869860E-1,-5.928469896E-1,-1.365559995E-1,8.159109221E-1
8.186870200E-2,4.643400013E-1,6.074000150E-3,5.811100081E-2,4.680015157E-1
8.686531900E-2,1.845259964E-1,3.628169894E-1,-5.506010056E-1,6.847243814E-1
9.186193400E-2,-9.110400081E-2,4.262499884E-2,7.314860225E-1,7.383688987E-1
9.685846900E-2,-2.246769965E-1,-3.181770146E-1,1.947551966E0,1.986120597E0
1.018550820E-1,-4.435800016E-2,-2.834410071E-1,-6.258090138E-1,6.884354425E-1
1.068516980E-1,-7.879000157E-3,1.267859936E-1,-2.796473980E0,2.799357692E0
1.118483130E-1,-2.420980036E-1,5.037739873E-1,-1.500823021E0,1.601520969E0
1.168450050E-1,-2.206790000E-1,3.096190095E-1,8.090220094E-1,8.939126153E-1
1.218416220E-1,1.514959931E-1,-2.335579991E-1,1.189378023E0,1.221523826E0
1.268381600E-1,3.873820007E-1,-6.099060178E-1,1.050330028E-1,7.301247131E-1
1.318347500E-1,2.206719965E-1,-4.343270063E-1,4.365620017E-1,6.541578248E-1
1.368313650E-1,-1.411519945E-1,3.099099919E-2,8.802250028E-1,8.920091833E-1
1.418279800E-1,-2.826209962E-1,3.510009944E-1,3.386229873E-1,5.636859526E-1
1.468245960E-1,-9.834700078E-2,4.435279965E-1,-8.354740143E-1,9.510026524E-1
1.518212110E-1,1.663360000E-1,9.376800060E-2,-1.813182950E0,1.823209399E0
1.568179040E-1,1.650940031E-1,-3.467459977E-1,-4.366390109E-1,5.815001656E-1
1.618145210E-1,-1.655679941E-1,-3.326520026E-1,1.003118038E0,1.069727028E0
1.668110590E-1,-2.251330018E-1,8.556800336E-2,4.677099884E-1,5.260792572E-1
1.718076730E-1,-1.764000044E-3,3.354789913E-1,2.185290009E-1,4.003800563E-1
1.768042880E-1,1.929920018E-1,1.294640005E-1,-6.748799980E-2,2.419947733E-1
1.818009090E-1,2.969979942E-1,-1.818950027E-1,-7.168800235E-1,7.970009841E-1
1.867975240E-1,1.480389982E-1,-3.432869911E-1,-1.611050069E-1,4.070827023E-1
1.917941390E-1,-2.090130001E-1,-2.143300027E-1,3.353810012E-1,4.495600074E-1
1.967907550E-1,-3.831889927E-1,1.667589992E-1,-8.278899640E-2,4.260239264E-1
2.017873710E-1,-1.964409947E-1,4.706580043E-1,-2.479709983E-1,5.670957921E-1
2.067839870E-1,1.314329952E-1,1.699559987E-1,-2.083089948E-1,2.992529215E-1
2.117806080E-1,3.357949853E-1,-3.456949890E-1,1.046940014E-1,4.931775861E-1
2.167772230E-1,2.667559981E-1,-4.788559973E-1,3.158180118E-1,6.326158750E-1
2.217738520E-1,-2.177199908E-2,-1.925889999E-1,3.186799958E-2,1.964182074E-1
2.267704670E-1,-3.044930100E-1,2.659829855E-1,-3.434019983E-1,5.304600590E-1
2.317670770E-1,-3.289769888E-1,5.027390122E-1,-4.011459947E-1,7.224198797E-1
