"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.025553900E-2,-4.293600097E-2,5.971999839E-2,3.836730123E-1,3.906596456E-1
1.525091600E-2,1.789470017E-1,2.930119932E-1,-1.565598965E0,1.602803224E0
2.024753100E-2,2.590239942E-1,-1.114019975E-1,-1.920685053E0,1.941271467E0
2.524383900E-2,-2.720780075E-1,-2.864190042E-1,-1.147489995E-1,4.113752800E-1
3.024023700E-2,-5.369430184E-1,5.429400131E-2,1.414111018E0,1.513593610E0
3.523677400E-2,-1.558569968E-1,3.636609912E-1,1.361449003E0,1.417774350E0
4.023316100E-2,2.536549866E-1,1.275649965E-1,2.587830126E-1,3.841644546E-1
4.522946800E-2,3.980210125E-1,-2.673389912E-1,-1.152258039E0,1.248034234E0
5.022600500E-2,1.617880017E-1,-2.709029913E-1,-1.675933003E0,1.705378322E0
5.522240100E-2,-2.982290089E-1,1.695969999E-1,-2.883349955E-1,4.481526010E-1
6.021893800E-2,-3.561669886E-1,4.241189957E-1,1.126597047E0,1.255369568E0
6.521532400E-2,-3.310300037E-2,1.491349936E-1,1.269263029E0,1.278423127E0
7.021186100E-2,1.896059960E-1,-2.857449949E-1,-9.852100164E-2,3.568010981E-1
7.520824800E-2,8.435899764E-2,-3.259859979E-1,-1.110803008E0,1.160718154E0
8.020478400E-2,-1.645260006E-1,9.984999895E-2,-8.869029880E-1,9.075437936E-1
8.520117100E-2,-1.380430013E-1,5.036389828E-1,2.313079983E-1,5.711492671E-1
9.019747800E-2,9.677600116E-2,2.473780066E-1,7.974640131E-1,8.405416853E-1
9.519403900E-2,2.173649967E-1,-2.849259973E-1,3.129960001E-1,4.758117924E-1
1.001904250E-1,1.610900089E-2,-4.056690037E-1,-4.910460114E-1,6.371444309E-1
1.051869620E-1,-2.862949967E-1,4.000999965E-3,-6.525660157E-1,7.126171749E-1
1.101833490E-1,-2.540850043E-1,4.993149936E-1,-5.654999986E-3,5.602737111E-1
1.151798850E-1,6.798599660E-2,3.578540087E-1,5.247269869E-1,6.387644308E-1
1.201762000E-1,2.979249954E-1,-2.336490005E-1,2.626720071E-1,4.608120459E-1
1.251725820E-1,1.722439975E-1,-4.897609949E-1,-3.764100075E-1,6.412630666E-1
1.301691160E-1,-1.884279996E-1,-6.568299979E-2,-6.073489785E-1,6.392903481E-1
1.351655030E-1,-2.712750137E-1,4.961520135E-1,-1.087630019E-1,5.758353447E-1
1.401620230E-1,1.617410034E-1,1.631129980E-1,4.241119921E-1,4.823245631E-1
1.451584100E-1,1.126070023E-1,-2.964699864E-1,1.792010069E-1,3.642633535E-1
1.501549460E-1,-2.573390007E-1,8.352100104E-2,-1.123429984E-1,2.929506241E-1
1.551512660E-1,1.510519981E-1,7.850900292E-2,-2.008589953E-1,2.632958520E-1
1.601476480E-1,2.429899946E-2,-6.345999893E-3,-3.113679886E-1,3.123791565E-1
1.651441870E-1,1.055000001E-3,1.508899964E-2,-4.552699998E-2,4.797393732E-2
1.701405640E-1,1.010799967E-2,-1.708500087E-2,1.843100041E-1,1.853759600E-1
1.751368710E-1,-7.672599703E-2,1.665499993E-2,5.741599947E-2,9.726697609E-2
1.801333940E-1,4.559100047E-2,-2.178000053E-3,-5.270500109E-2,6.972159025E-2
1.851300090E-1,-1.492490023E-1,9.164500237E-2,-2.179789990E-1,2.796228087E-1
1.901263810E-1,1.317619979E-1,-3.223399818E-2,-1.365790069E-1,1.924943632E-1
1.951226880E-1,4.829600081E-2,-7.079999894E-3,9.798000008E-2,1.094655677E-1
2.001192200E-1,-1.441970021E-1,5.739200115E-2,-3.375799954E-2,1.588276416E-1
2.051156070E-1,8.801300079E-2,-1.020599995E-2,-1.174969971E-1,1.471597604E-1
2.101121480E-1,1.121139973E-1,-2.324499935E-2,-5.053099990E-2,1.251529478E-1
2.151084580E-1,-1.116830036E-1,4.158199951E-2,-1.948799938E-2,1.207556959E-1
2.201050710E-1,-1.294340044E-1,4.776100069E-2,-5.059000105E-2,1.469476876E-1
2.251013670E-1,4.461399838E-2,-8.984999731E-3,-7.447600365E-2,8.728009046E-2
2.300977510E-1,1.324079931E-1,-3.444200009E-2,-5.534800142E-2,1.475856675E-1
2.350942880E-1,4.241099954E-2,-5.076999776E-3,-3.148699924E-2,5.306505375E-2
2.400906750E-1,-7.151699811E-2,2.408999950E-2,-3.392399848E-2,8.273963239E-2
2.450869820E-1,-7.280500233E-2,2.680999972E-2,-5.544700101E-2,9.536096880E-2
2.500835860E-1,5.000000237E-4,1.029300038E-2,-6.498999894E-2,6.580194388E-2
2.550798950E-1,4.846400023E-2,-1.195800025E-2,-5.543399975E-2,7.459679226E-2
2.600764180E-1,3.263400123E-2,-8.372999728E-3,-3.869900107E-2,5.130982211E-2
2.650728040E-1,-8.194000460E-3,6.725000218E-3,-3.392799944E-2,3.554541345E-2
2.700693460E-1,-2.896999940E-2,1.359999995E-3,-4.590500146E-2,5.429898364E-2
2.750657330E-1,-1.941899955E-2,1.376000000E-3,-5.304900184E-2,5.650829599E-2
2.800622690E-1,6.085000001E-3,6.300999783E-3,-5.062599853E-2,5.137822058E-2
2.850586410E-1,1.023800019E-2,1.222999999E-3,-4.346099868E-2,4.466733464E-2
2.900549480E-1,-1.309999934E-4,8.429000154E-3,-4.826200008E-2,4.899271228E-2
2.950514850E-1,4.863999784E-3,-1.833999995E-3,-5.546300113E-2,5.570607278E-2
3.000478710E-1,2.362000057E-3,-4.015999846E-3,-5.785100162E-2,5.803831224E-2
3.050444080E-1,-2.419000026E-3,1.282999991E-3,-5.544000119E-2,5.550757950E-2
3.100408190E-1,2.575000050E-3,-3.456000006E-3,-4.346499965E-2,4.367814963E-2
3.150371260E-1,4.728999920E-3,4.151000176E-3,-4.106400162E-2,4.154330839E-2
3.200336630E-1,1.906999969E-3,1.521999948E-3,-6.023100019E-2,6.028039910E-2
3.250300490E-1,4.244999960E-3,1.668000012E-3,-6.261999905E-2,6.278587843E-2
3.300266010E-1,1.702000038E-3,1.128000021E-2,-4.825599864E-2,4.958605261E-2
3.350229870E-1,-7.927999832E-3,5.663999822E-3,-4.110100120E-2,4.224010387E-2
3.400195240E-1,-7.269000169E-3,-4.277000204E-3,-3.631300107E-2,3.727955392E-2
3.450159110E-1,5.080000265E-4,9.860000573E-4,-4.347199947E-2,4.348614719E-2
3.500122180E-1,7.524000015E-3,9.250000003E-4,-5.784200132E-2,5.833663787E-2
3.550087550E-1,4.484000150E-3,-3.879999975E-3,-5.785299838E-2,5.815608376E-2
3.600051410E-1,-2.978000091E-3,-9.860000573E-4,-4.826400056E-2,4.836583951E-2
3.650016780E-1,-7.418999914E-3,-7.609999739E-4,-4.585900158E-2,4.646147551E-2
3.699980640E-1,-2.008999931E-3,1.726999995E-3,-4.823999852E-2,4.831269054E-2
3.749946010E-1,5.450000172E-4,1.719000051E-3,-4.584300146E-2,4.587845648E-2
3.799909880E-1,-1.909999992E-3,-6.869999925E-4,-4.584499821E-2,4.588991098E-2
3.849875240E-1,-1.657000044E-3,6.688000169E-3,-4.822900146E-2,4.871869844E-2
3.899839160E-1,9.720000089E-4,1.465999987E-3,-4.823800176E-2,4.827006064E-2
3.949802230E-1,-3.806000110E-3,3.874999937E-3,-5.063299835E-2,5.092348950E-2
3.999767600E-1,-3.382999916E-3,8.476999588E-3,-5.542000011E-2,5.616654362E-2
4.049731460E-1,6.587000098E-3,5.514000077E-3,-5.064300075E-2,5.136639263E-2
4.099696830E-1,8.403999731E-3,2.794000087E-3,-4.587300122E-2,4.672008014E-2
4.149660700E-1,2.875000006E-3,7.478999905E-3,-4.349400103E-2,4.422588824E-2
4.199626210E-1,2.610000083E-3,2.071999945E-3,-3.872799873E-2,3.887110971E-2
4.249590080E-1,4.860000219E-3,-2.777999965E-3,-4.591500014E-2,4.625499026E-2
4.299553190E-1,6.928000133E-3,2.379999962E-3,-4.830300063E-2,4.885531144E-2
4.349518560E-1,1.110900007E-2,-7.699999696E-5,-4.831499979E-2,4.957575028E-2
4.399482420E-1,2.956999931E-3,-2.322999993E-3,-4.114300013E-2,4.131448459E-2
4.449447790E-1,2.830000012E-4,-2.000000095E-3,-3.874300048E-2,3.879562057E-2
4.499410890E-1,-2.160999924E-3,-4.108000081E-3,-4.831099883E-2,4.853347497E-2
4.549374810E-1,-4.277999979E-3,1.068999991E-3,-4.590199888E-2,4.611331202E-2
4.599340200E-1,3.359999973E-3,1.068800036E-2,-4.828700051E-2,4.956972231E-2
4.649303960E-1,3.163000103E-3,5.121999886E-3,-5.310200155E-2,5.344213713E-2
4.699269330E-1,6.990000256E-4,4.700000136E-5,-5.071799830E-2,5.072283668E-2
4.749233190E-1,-1.658999943E-3,4.978000186E-3,-4.113699868E-2,4.147029572E-2
4.799198610E-1,8.539999835E-4,9.460000321E-3,-3.874700144E-2,3.989424824E-2
4.849162480E-1,3.146999981E-3,1.115899999E-2,-4.595499858E-2,4.739502911E-2
4.899127840E-1,-4.323999863E-3,7.600000245E-4,-4.837900028E-2,4.857779578E-2
4.949090940E-1,-8.752999827E-3,-6.347999908E-3,-4.597600177E-2,4.723033821E-2
4.999054660E-1,-5.518999882E-3,-3.275000025E-3,-4.115400091E-2,4.165137183E-2
5.049020050E-1,2.218999900E-3,-2.873999998E-3,-4.113399982E-2,4.129394360E-2
5.098983150E-1,4.505000077E-3,2.281999914E-3,-5.309399962E-2,5.333362303E-2
5.148949230E-1,-2.969000023E-3,2.240000060E-3,-5.549700186E-2,5.562148664E-2
5.198913100E-1,-5.113000050E-3,-2.683999948E-3,-4.113100097E-2,4.153439377E-2
5.248876170E-1,-4.592000041E-3,4.848999903E-3,-4.111099988E-2,4.164989287E-2
5.298841540E-1,-1.719999942E-3,2.159999916E-3,-5.547900125E-2,5.554766943E-2
5.348805400E-1,9.229999851E-4,-5.047999788E-3,-5.068600178E-2,5.094511760E-2
5.398770920E-1,-1.557999989E-3,-2.073999960E-3,-5.067000166E-2,5.073635686E-2
5.448734780E-1,-3.827000037E-3,3.038000083E-3,-5.305000022E-2,5.327455206E-2
5.498700050E-1,-3.398000030E-3,5.349999992E-4,-4.586600140E-2,4.599481181E-2
5.548663150E-1,-7.270000060E-4,3.122000024E-3,-4.585599899E-2,4.596790246E-2
5.598626970E-1,6.606999785E-3,6.980000180E-4,-5.303600058E-2,5.345050989E-2
5.648592550E-1,6.033999845E-3,7.910000277E-4,-4.825399816E-2,4.863623314E-2
5.698556410E-1,3.214000026E-3,3.257999895E-3,-3.628899902E-2,3.657643790E-2
5.748521780E-1,5.406000186E-3,5.483000074E-3,-4.108700156E-2,4.180227057E-2
5.798485640E-1,2.626999980E-3,3.469999938E-4,-4.588900134E-2,4.596544334E-2
5.848451010E-1,2.490000101E-3,-6.730000023E-3,-5.067700148E-2,5.118253100E-2
5.898413970E-1,4.765999969E-3,-8.399000391E-3,-5.065700039E-2,5.156927042E-2
5.948377790E-1,4.554999992E-3,-4.520000075E-4,-3.866599873E-2,3.893599603E-2
5.998343420E-1,4.348000046E-3,1.991000026E-3,-3.866700083E-2,3.896159826E-2
6.048307280E-1,-7.340000011E-4,-4.579999950E-4,-4.106900096E-2,4.107811290E-2
6.098272550E-1,-6.960000028E-4,6.887000054E-3,-4.345700145E-2,4.400484247E-2
6.148235650E-1,1.842000056E-3,8.817999624E-3,-5.065200105E-2,5.144682004E-2
6.198201780E-1,-3.008000087E-3,3.418999957E-3,-4.588299990E-2,4.610842987E-2
6.248164880E-1,-2.659999998E-3,8.047999814E-3,-3.630499914E-2,3.728134740E-2
6.298128720E-1,2.327000024E-3,-4.503000062E-3,-4.110899940E-2,4.142030626E-2
6.348094380E-1,-1.840000041E-4,-6.390000228E-3,-4.588500038E-2,4.632816874E-2
6.398058240E-1,-2.472999971E-3,3.765000030E-3,-4.107600078E-2,4.132225543E-2
6.448023610E-1,-4.468000028E-3,5.956999958E-3,-4.107499868E-2,4.174451328E-2
6.497986660E-1,8.929999894E-4,-1.719999942E-3,-3.868599981E-2,3.873451213E-2
6.547952790E-1,3.289999906E-3,-8.639999665E-3,-3.867999837E-2,3.976953567E-2
6.597916030E-1,-1.701000030E-3,-2.994999988E-3,-4.583999887E-2,4.596921712E-2
6.647879870E-1,9.280000231E-4,2.287999960E-3,-5.060900003E-2,5.066919194E-2
6.697845240E-1,3.338000039E-3,-1.550000015E-4,-4.582199827E-2,4.594368068E-2
6.747808960E-1,7.459999761E-4,-2.504999982E-3,-4.342899844E-2,4.350757918E-2
6.797774330E-1,-1.625000034E-3,2.625999972E-3,-4.820600152E-2,4.830481429E-2
6.847738200E-1,-3.891000059E-3,7.329000160E-3,-5.059999973E-2,5.127586271E-2
6.897703560E-1,3.613000037E-3,2.060000086E-3,-5.061199889E-2,5.078259348E-2
6.947666660E-1,8.183999918E-3,6.821000017E-3,-4.582700133E-2,4.704910145E-2
6.997630480E-1,2.781999996E-3,1.115799975E-2,-5.063999817E-2,5.192927784E-2
7.047595870E-1,9.716999717E-3,7.699999842E-4,-5.305999890E-2,5.394790512E-2
7.097559780E-1,8.875999600E-3,8.570000064E-4,-4.828400165E-2,4.910053598E-2
7.147525150E-1,3.416999942E-3,8.107000031E-3,-3.871399909E-2,3.970104613E-2
7.197489020E-1,-1.587999985E-3,7.528000046E-3,-3.155500069E-2,3.247938727E-2
7.247452090E-1,-1.382000046E-3,-5.094999913E-3,-3.157100081E-2,3.200932740E-2
